id,label
301118,2
300277,1
301589,2
303135,1
303052,2
301767,1
302619,1
303090,1
303346,2
301793,2
301080,1
303037,1
300634,1
300094,3
303338,1
300960,3
301168,1
304144,2
300155,2
300126,1
301208,1
301492,1
303626,2
301004,1
301599,1
303971,2
304025,1
304587,1
301698,2
304491,3
300434,3
301925,2
300712,1
304056,3
301093,1
304975,1
302491,2
304707,2
301351,3
300565,1
303168,1
300420,3
304934,1
301786,2
302716,2
300482,3
302794,1
300760,2
302748,1
304669,2
304667,3
300182,2
300840,1
300203,1
300177,2
304829,2
304643,1
301313,3
303207,1
301741,2
300870,2
302575,1
304989,1
303518,3
304714,1
301725,2
302087,1
302855,2
303373,3
304493,1
303607,3
303143,1
303634,1
302153,3
304854,3
302780,3
301469,3
302078,2
300456,2
300298,1
304634,3
302229,1
303155,2
301457,3
303678,2
304752,1
302916,2
301552,1
302404,1
301366,1
303612,1
303885,1
303528,3
302301,1
302821,1
301527,1
304503,2
301489,2
304240,3
301672,1
302696,1
303633,1
300519,1
301092,2
304664,3
304570,2
301586,2
301658,3
300075,2
301971,1
301660,2
301515,2
304685,3
304006,2
300883,2
302143,3
304631,3
302098,2
303462,2
303077,1
303604,2
304059,3
300163,1
300546,1
303490,1
302980,1
301955,1
303161,1
300629,2
301519,2
302184,2
303787,2
300253,2
301076,1
304219,2
301576,2
301894,2
302431,1
304019,2
303175,2
304998,3
303132,1
301656,2
300708,1
300408,1
304472,3
302503,1
303849,1
303610,1
300187,1
301523,1
304723,3
303480,1
303632,3
303625,2
302403,3
301474,1
304542,2
300590,3
303376,1
302006,1
300863,2
302760,2
304711,2
301099,2
301826,1
301943,2
301435,2
300759,3
303539,3
302618,2
301119,3
300023,2
303855,2
303149,1
303602,2
304697,1
301917,1
304708,2
300586,3
304947,1
304796,1
303785,1
301360,1
303200,1
304555,1
301507,2
304382,2
304530,2
300610,2
301881,3
301278,1
303567,1
301333,1
301273,1
303073,1
300928,1
304699,1
303443,2
302709,3
301283,1
303621,1
303429,1
301938,3
303416,3
301084,2
301521,2
303473,1
304145,2
304231,1
304639,1
301880,1
300158,3
302292,1
304455,2
303513,3
301905,3
302877,2
301584,1
304335,2
303327,2
304666,1
303485,2
303560,2
303986,3
300297,1
303481,1
303463,1
304994,3
300700,2
303228,3
302650,2
301052,1
301860,3
302645,1
300169,2
303875,1
301209,2
301641,3
304521,1
304286,1
300029,1
304730,1
304670,2
301946,1
301254,3
304713,1
304132,1
304655,3
301530,1
304199,1
300602,1
300985,2
301477,2
300604,2
302008,3
303671,3
304763,2
302511,1
300531,3
300827,1
303963,3
301737,1
304863,2
302994,1
303725,1
300017,1
300952,2
302204,1
301148,1
303029,1
303896,2
304494,3
302209,2
301794,2
300823,1
304273,1
303336,2
303743,3
301133,2
300289,1
302411,1
301201,2
304485,1
301790,3
303447,1
303009,1
303454,2
304799,1
300515,2
301812,2
302142,2
301665,2
303026,2
300108,2
301920,1
304411,1
300113,3
300661,1
301798,2
304086,1
304728,3
302666,1
303510,3
302862,1
304743,1
302041,1
301328,3
303085,2
300810,2
303719,1
301234,2
303669,2
300841,3
301245,1
304246,2
303823,3
302131,1
303007,3
300063,1
301055,1
300570,3
301358,1
303064,1
302316,1
302756,3
303441,1
300326,2
303608,1
300806,3
304531,1
300601,1
303021,1
304042,1
303125,3
304801,3
302043,2
304093,2
304237,2
300522,2
301211,2
303501,1
304687,1
301260,2
302032,1
302274,1
302345,2
302162,1
303536,1
303459,3
302809,1
301304,1
300217,1
302225,2
302641,1
304528,2
301033,1
302494,3
303332,3
304968,3
303588,3
300850,1
304480,1
300151,1
303499,1
304079,1
304568,3
303417,2
301861,3
302574,2
301397,1
304390,3
304605,3
303653,1
304069,1
300849,2
302425,1
302603,1
302106,1
302812,1
302121,2
304726,2
302409,2
304773,3
302945,1
303761,1
300308,3
301977,2
304502,1
300703,1
304924,2
300672,3
300383,3
301468,1
302389,3
301262,1
300331,1
300322,2
302490,1
301781,1
304805,1
301991,2
303903,2
302736,1
304318,1
301813,3
304383,2
303860,2
304205,3
302636,2
302523,2
301395,3
301380,1
303954,3
300788,1
301263,1
301363,1
301684,3
302352,1
300798,3
304992,3
303713,1
303011,2
302871,3
303606,3
302407,2
302116,3
302633,1
302328,1
302563,2
304023,3
301286,3
304820,1
300365,1
304879,1
304575,1
300441,2
303909,1
300062,1
301229,1
304011,3
303503,2
301340,1
300999,2
302385,1
300537,1
303807,2
302185,1
304816,3
301998,3
303788,2
300154,3
302343,3
300955,2
300213,1
300413,1
304067,3
300296,3
303203,2
301828,3
303468,2
300859,3
300790,1
303313,2
303057,3
304140,1
301324,1
303253,3
301028,2
300543,1
304255,1
300811,3
304046,3
301609,3
303880,1
301422,3
302522,2
301924,2
303783,3
302898,2
300820,3
302255,3
301123,2
300983,1
300404,1
302528,2
303453,1
300687,1
304646,3
301573,1
301041,2
304003,3
301536,1
300403,1
301057,1
304130,1
302224,1
301403,2
300183,1
302387,2
300225,3
302918,2
303673,1
300088,1
301774,2
302351,1
301228,1
300835,3
304614,3
300049,3
301451,3
303133,3
304788,2
300424,2
304173,1
304375,3
303694,3
301060,1
303312,2
302256,1
304151,1
300763,3
300256,1
303154,3
302497,2
304410,2
302940,2
303173,3
303013,2
300812,2
304221,3
302179,3
302171,1
300544,2
302583,3
303440,1
304840,1
302857,2
302100,3
301012,2
302697,3
300825,1
304122,1
301996,3
300294,1
304250,3
303628,3
300364,1
300580,1
301393,1
301095,1
304044,1
300603,1
300912,1
300021,1
300010,2
303165,1
300528,1
301701,1
300215,2
301279,3
301642,1
303121,1
304201,2
304642,2
304967,2
303129,3
303650,1
304338,3
304066,3
301216,2
303698,2
301019,1
300729,3
303958,3
304275,3
304004,3
304501,1
303008,3
302346,3
302850,1
302201,3
302840,3
300954,2
304249,3
304414,1
300718,1
302221,3
301875,3
300563,1
300737,1
304157,1
302973,1
301091,2
301555,2
302640,1
303277,1
303479,1
300323,3
304935,2
303148,1
304927,2
304451,3
304351,1
300785,2
303618,1
303914,1
304068,3
300414,3
302281,1
302924,3
302214,3
304082,3
302693,1
300508,2
